Cm C/A;Vol Sum;Desplazamiento;KC;MaestraC;KMT;MaestraF;TC (1.025);TC=1;Mu
5,7600;14427,1656;14787,8448;2,9961;-2,9312;10,5697;-1,4089;27,7928;27,1150;232,4696
5,7800;14481,4174;14843,4528;3,0064;-2,9256;10,5606;-1,3787;27,8045;27,1264;232,7687
5,8000;14535,6922;14899,0845;3,0167;-2,9199;10,5516;-1,3481;27,8164;27,1379;233,0694
5,8200;14589,9902;14954,7400;3,0270;-2,9141;10,5428;-1,3171;27,8283;27,1495;233,3717
5,8400;14644,3117;15010,4195;3,0373;-2,9082;10,5341;-1,2857;27,8403;27,1612;233,6756
5,8600;14698,6568;15066,1232;3,0476;-2,9023;10,5256;-1,2540;27,8523;27,1730;233,9811
5,8800;14753,0258;15121,8514;3,0580;-2,8963;10,5172;-1,2218;27,8645;27,1849;234,2882
5,9000;14807,4187;15177,6042;3,0683;-2,8901;10,5090;-1,1893;27,8768;27,1969;234,5967
5,9200;14861,8360;15233,3819;3,0786;-2,8840;10,5009;-1,1564;27,8892;27,2090;234,9068
5,9400;14916,2776;15289,1845;3,0889;-2,8777;10,4929;-1,1231;27,9017;27,2212;235,2183
5,9600;14970,7438;15345,0124;3,0992;-2,8714;10,4850;-1,0894;27,9143;27,2335;235,5313
5,9800;15025,2349;15400,8658;3,1095;-2,8649;10,4772;-1,0554;27,9270;27,2459;235,8458
6,0000;15079,7510;15456,7448;3,1198;-2,8584;10,4695;-1,0209;27,9398;27,2584;236,1616
6,0200;15134,2924;15512,6497;3,1302;-2,8518;10,4618;-0,9862;27,9527;27,2710;236,4788
6,0400;15188,8591;15568,5806;3,1405;-2,8452;10,4543;-0,9510;27,9657;27,2836;236,7973
6,0600;15243,4515;15624,5378;3,1508;-2,8384;10,4468;-0,9155;27,9788;27,2964;237,1172
6,0800;15298,0698;15680,5215;3,1611;-2,8316;10,4394;-0,8796;27,9921;27,3093;237,4383
6,1000;15352,7140;15736,5319;3,1715;-2,8246;10,4320;-0,8433;28,0054;27,3223;237,7607
6,1200;15407,3845;15792,5691;3,1818;-2,8176;10,4246;-0,8067;28,0188;27,3354;238,0843
6,1400;15462,0815;15848,6335;3,1921;-2,8105;10,4173;-0,7698;28,0323;27,3486;238,4091
6,1600;15516,8051;15904,7252;3,2025;-2,8033;10,4100;-0,7325;28,0459;27,3619;238,7351
6,1800;15571,5556;15960,8445;3,2128;-2,7960;10,4028;-0,6948;28,0597;27,3753;239,0621
6,2000;15626,3331;16016,9914;3,2231;-2,7887;10,3955;-0,6568;28,0735;27,3888;239,3903
6,2200;15681,1379;16073,1663;3,2335;-2,7812;10,3883;-0,6185;28,0875;27,4024;239,7195
6,2400;15735,9702;16129,3694;3,2438;-2,7737;10,3810;-0,5799;28,1015;27,4161;240,0496
6,2600;15790,8301;16185,6009;3,2541;-2,7661;10,3737;-0,5409;28,1157;27,4299;240,3808
6,2800;15845,7180;16241,8609;3,2645;-2,7583;10,3665;-0,5017;28,1299;27,4438;240,7129
6,3000;15900,6339;16298,1498;3,2748;-2,7505;10,3591;-0,4621;28,1443;27,4578;241,0458
6,3200;15955,5782;16354,4676;3,2852;-2,7426;10,3518;-0,4222;28,1588;27,4720;241,3797
6,3400;16010,5509;16410,8147;3,2956;-2,7347;10,3444;-0,3821;28,1733;27,4862;241,7143
6,3600;16065,5524;16467,1912;3,3059;-2,7266;10,3370;-0,3416;28,1880;27,5005;242,0497
6,3800;16120,5828;16523,5973;3,3163;-2,7184;10,3296;-0,3009;28,2028;27,5149;242,3857
6,4000;16175,6423;16580,0333;3,3266;-2,7102;10,3220;-0,2599;28,2177;27,5295;242,7225
6,4200;16230,7311;16636,4994;3,3370;-2,7018;10,3145;-0,2186;28,2327;27,5441;243,0599
6,4400;16285,8495;16692,9957;3,3474;-2,6934;10,3068;-0,1771;28,2478;27,5588;243,3979
6,4600;16340,9976;16749,5226;3,3577;-2,6849;10,2991;-0,1353;28,2630;27,5737;243,7364
6,4800;16396,1757;16806,0801;3,3681;-2,6763;10,2914;-0,0933;28,2783;27,5886;244,0754
6,5000;16451,3840;16862,6686;3,3785;-2,6676;10,2835;-0,0511;28,2938;27,6037;244,4148
6,5200;16506,6226;16919,2881;3,3889;-2,6588;10,2756;-0,0086;28,3093;27,6188;244,7546
6,5400;16561,8917;16975,9390;3,3993;-2,6499;10,2676;0,0340;28,3249;27,6341;245,0948
6,5600;16617,1917;17032,6215;3,4096;-2,6409;10,2595;0,0768;28,3407;27,6494;245,4352
6,5800;16672,5226;17089,3356;3,4200;-2,6319;10,2513;0,1199;28,3565;27,6649;245,7759
6,6000;16727,8847;17146,0818;3,4304;-2,6227;10,2430;0,1631;28,3725;27,6805;246,1167
6,6200;16783,2781;17202,8601;3,4408;-2,6135;10,2347;0,2064;28,3885;27,6961;246,4577
6,6400;16838,7031;17259,6707;3,4512;-2,6041;10,2262;0,2500;28,4047;27,7119;246,7987
6,6600;16894,1600;17316,5140;3,4616;-2,5947;10,2177;0,2936;28,4209;27,7278;247,1398
6,6800;16949,6488;17373,3900;3,4720;-2,5852;10,2091;0,3374;28,4373;27,7437;247,4808
6,7000;17005,1697;17430,2990;3,4825;-2,5756;10,2003;0,3813;28,4538;27,7598;247,8217
6,7200;17060,7231;17487,2412;3,4929;-2,5659;10,1915;0,4253;28,4704;27,7760;248,1625
6,7400;17116,3090;17544,2168;3,5033;-2,5561;10,1826;0,4693;28,4870;27,7922;248,5030
6,7600;17171,9277;17601,2259;3,5137;-2,5462;10,1736;0,5135;28,5038;27,8086;248,8433
6,7800;17227,5794;17658,2689;3,5241;-2,5362;10,1645;0,5577;28,5207;27,8251;249,1832
6,8000;17283,2643;17715,3459;3,5346;-2,5262;10,1554;0,6019;28,5377;27,8417;249,5227
6,8200;17338,9825;17772,4570;3,5450;-2,5160;10,1462;0,6462;28,5548;27,8583;249,8618
6,8400;17394,7342;17829,6026;3,5554;-2,5058;10,1368;0,6904;28,5720;27,8751;250,2004
6,8600;17450,5197;17886,7827;3,5659;-2,4954;10,1275;0,7347;28,5893;27,8920;250,5383
6,8800;17506,3392;17943,9977;3,5763;-2,4850;10,1180;0,7789;28,6067;27,9089;250,8756
6,9000;17562,1927;18001,2476;3,5868;-2,4745;10,1085;0,8231;28,6241;27,9260;251,2122
6,9200;17618,0806;18058,5326;3,5972;-2,4639;10,0990;0,8672;28,6417;27,9432;251,5481
6,9400;17674,0030;18115,8531;3,6077;-2,4532;10,0894;0,9112;28,6594;27,9604;251,8830
6,9600;17729,9601;18173,2091;3,6182;-2,4425;10,0798;0,9552;28,6772;27,9778;252,2171
6,9800;17785,9520;18230,6008;3,6286;-2,4316;10,0701;0,9990;28,6951;27,9952;252,5501
7,0000;17841,9790;18288,0285;3,6391;-2,4206;10,0605;1,0427;28,7131;28,0127;252,8821
7,0200;17898,0413;18345,4923;3,6496;-2,4096;10,0508;1,0862;28,7311;28,0304;253,2130
7,0400;17954,1390;18402,9924;3,6600;-2,3985;10,0411;1,1328;28,7493;28,0481;253,5427
7,0600;18010,2722;18460,5290;3,6705;-2,3873;10,0315;1,1804;28,7676;28,0659;253,8711
7,0800;18066,4413;18518,1023;3,6810;-2,3760;10,0219;1,2281;28,7859;28,0838;254,1982
7,1000;18122,6463;18575,7124;3,6915;-2,3646;10,0123;1,2757;28,8044;28,1018;254,5239
7,1200;18178,8874;18633,3596;3,7020;-2,3531;10,0028;1,3232;28,8229;28,1199;254,8481
7,1400;18235,1649;18691,0440;3,7125;-2,3416;9,9934;1,3708;28,8416;28,1381;255,1707
7,1600;18291,4788;18748,7657;3,7230;-2,3299;9,9841;1,4184;28,8603;28,1564;255,4917
7,1800;18347,8293;18806,5251;3,7335;-2,3182;9,9749;1,4659;28,8791;28,1747;255,8110
7,2000;18404,2167;18864,3221;3,7441;-2,3064;9,9658;1,5135;28,8980;28,1932;256,1285
7,2200;18460,6411;18922,1571;3,7546;-2,2945;9,9569;1,5610;28,9170;28,2117;256,4442
7,2400;18517,1026;18980,0301;3,7651;-2,2826;9,9482;1,6086;28,9361;28,2303;256,7579
7,2600;18573,6014;19037,9414;3,7756;-2,2705;9,9396;1,6562;28,9552;28,2490;257,0695
7,2800;18630,1376;19095,8911;3,7862;-2,2584;9,9313;1,7038;28,9745;28,2678;257,3791
7,3000;18686,7115;19153,8793;3,7967;-2,2462;9,9232;1,7514;28,9938;28,2866;257,6865
7,3200;18743,3232;19211,9063;3,8073;-2,2339;9,9154;1,7990;29,0132;28,3056;257,9917
7,3400;18799,9729;19269,9722;3,8178;-2,2215;9,9078;1,8466;29,0327;28,3246;258,2945
7,3600;18856,6606;19328,0771;3,8284;-2,2090;9,9006;1,8943;29,0523;28,3437;258,5948
7,3800;18913,3866;19386,2212;3,8389;-2,1965;9,8938;1,9419;29,0720;28,3629;258,8927
7,4000;18970,1509;19444,4047;3,8495;-2,1839;9,8873;1,9896;29,0917;28,3821;259,1880
7,4200;19026,9538;19502,6277;3,8601;-2,1712;9,8812;2,0373;29,1115;28,4015;259,4806
7,4400;19083,7954;19560,8903;3,8706;-2,1584;9,8756;2,0850;29,1314;28,4209;259,7705
7,4600;19140,6758;19619,1927;3,8812;-2,1456;9,8704;2,1327;29,1514;28,4404;260,0575
7,4800;19197,5952;19677,5351;3,8918;-2,1327;9,8658;2,1805;29,1714;28,4599;260,3416
7,5000;19254,5537;19735,9175;3,9024;-2,1197;9,8617;2,2282;29,1915;28,4795;260,6226
7,5200;19311,5514;19794,3402;3,9130;-2,1066;9,8582;2,2760;29,2117;28,4992;260,9006
7,5400;19368,5885;19852,8032;3,9236;-2,0934;9,8553;2,3238;29,2319;28,5190;261,1754
7,5600;19425,6651;19911,3068;3,9342;-2,0802;9,8531;2,3716;29,2523;28,5388;261,4469
7,5800;19482,7814;19969,8509;3,9448;-2,0669;9,8517;2,4193;29,2726;28,5587;261,7151
7,6000;19539,9374;20028,4358;3,9554;-2,0535;9,8509;2,4671;29,2931;28,5786;261,9797
7,6200;19597,1332;20087,0616;3,9661;-2,0401;9,8510;2,5149;29,3136;28,5986;262,2409
7,6400;19654,3691;20145,7284;3,9767;-2,0266;9,8519;2,5627;29,3342;28,6187;262,4984
7,6600;19711,6451;20204,4363;3,9873;-2,0130;9,8537;2,6104;29,3548;28,6388;262,7522
